TC_SELENIUM_001 | Passed | Selenium Home Portal UI render and header DOM element check - Scenario #1
TC_SELENIUM_274 | Passed | Selenium Advocate Dashboard Print preview layout CSS media query rendering check - Scenario #274
TC_SELENIUM_275 | Passed | Selenium Advocate Dashboard Infinite scroll list batch loading on scroll trigger - Scenario #275
TC_SELENIUM_276 | Passed | Selenium Advocate Dashboard Accordion panel collapse and expand animation transition - Scenario #276
TC_SELENIUM_277 | Passed | Selenium Advocate Dashboard Filter tag chip dismiss and list re-filtering trigger - Scenario #277
TC_SELENIUM_278 | Passed | Selenium Advocate Dashboard Card element hover animation transition & elevation shadow - Scenario #278
TC_SELENIUM_279 | Passed | Selenium Advocate Dashboard Form reset button field clear and error state removal - Scenario #279
TC_SELENIUM_280 | Passed | Selenium Advocate Dashboard Side drawer menu link active state highlight checking - Scenario #280
TC_SELENIUM_281 | Passed | Selenium Advocate Dashboard Badges count live counter pulse notification animation - Scenario #281
TC_SELENIUM_282 | Passed | Selenium Advocate Dashboard Chart JS analytics visual canvas rendering verification - Scenario #282
TC_SELENIUM_283 | Passed | Selenium Advocate Dashboard Context menu right-click custom legal options popup - Scenario #283
TC_SELENIUM_284 | Passed | Selenium Advocate Dashboard Sub-domain navigation redirection and token pass-through - Scenario #284
TC_SELENIUM_285 | Passed | Selenium Advocate Dashboard File size validator toast for oversized PDF upload - Scenario #285
TC_SELENIUM_286 | Passed | Selenium Advocate Dashboard Checkbox select-all table rows toggle state handler - Scenario #286
TC_SELENIUM_287 | Passed | Selenium Advocate Dashboard Radio button group legal entity selector state change - Scenario #287
TC_SELENIUM_288 | Passed | Selenium Advocate Dashboard Range slider timeline date range filter UI update - Scenario #288
TC_SELENIUM_289 | Passed | Selenium Advocate Dashboard Step-by-step wizard progress bar step transition - Scenario #289
TC_SELENIUM_290 | Passed | Selenium Advocate Dashboard Embedded iframe security sandbox attribute inspection - Scenario #290
TC_SELENIUM_291 | Passed | Selenium Advocate Dashboard External web link target _blank security rel check - Scenario #291
TC_SELENIUM_292 | Passed | Selenium Advocate Dashboard Dropdown search filter input clear button action - Scenario #292
TC_SELENIUM_293 | Passed | Selenium Advocate Dashboard Skeleton loader placeholder animation during fetch - Scenario #293
TC_SELENIUM_294 | Passed | Selenium Advocate Dashboard Inline text edit field focus and blur auto-save - Scenario #294
TC_SELENIUM_295 | Passed | Selenium Advocate Dashboard Status badge color coding (Green/Passed, Orange/Pending) - Scenario #295
TC_SELENIUM_296 | Passed | Selenium Advocate Dashboard Footer navigation copyright and privacy policy links - Scenario #296
TC_SELENIUM_297 | Passed | Selenium Advocate Dashboard Search query URL parameter bookmarkability test - Scenario #297
TC_SELENIUM_298 | Passed | Selenium Advocate Dashboard Browser back button state restoration after navigation - Scenario #298
TC_SELENIUM_299 | Passed | Selenium Advocate Dashboard DOM memory leak check after 50 consecutive route switches - Scenario #299
TC_SELENIUM_300 | Passed | Selenium Advocate Dashboard Console error log cleanliness check during user session - Scenario #300
